number,zip,"lat,long",city,pop
96,37660,"36.526722, -82.571648","Kingsport, Tennessee","40,915"
97,37804,"35.789271, -83.893628","Maryville, Tennessee","21,966"
98,37701,"35.792740, -83.986067","Alcoa, Tennessee","6,132"
99,37849,"36.054313, -84.046042","Powell, Tennessee","21,609"
100,37663,"36.463754, -82.487995","Kingsport, Tennessee","14,097"
101,37311,"35.104025, -84.920821","Cleveland, Tennessee","24,775"
102,37350,"35.002199, -85.358237","Lookout Mountain, Tennessee","2,109"
103,38036,"35.315491, -89.622040","Gallaway, Tennessee",408
104,37920,"35.908797, -83.869045","Knoxville, Tennessee","37,698"
105,37914,"35.983165, -83.795797","Knoxville, Tennessee","20,120"
106,38058,"35.462729, -89.798722","Munford, Tennessee","4,018"
107,37067,"35.911307, -86.779248","Franklin, Tennessee","15,588"
108,37129,"35.929834, -86.450822","Murfreesboro, Tennessee","38,237"
109,37719,"36.029139, -84.428649","Coalfield, Tennessee",70
110,38157,"35.114207, -89.891661","Memphis, Tennessee",75
111,37615,"36.402411, -82.457202","Johnson City, Tennessee","16,259"
112,37828,"36.197405, -84.068809","Norris, Tennessee","1,386"
113,37938,"36.124222, -83.939377","Knoxville, Tennessee","13,664"
114,37312,"35.232461, -84.879821","Cleveland, Tennessee","28,110"
115,38017,"35.066971, -89.648939","Collierville, Tennessee","35,993"
116,37932,"35.917328, -84.198756","Knoxville, Tennessee","11,136"
117,38501,"36.226045, -85.533285","Cookeville, Tennessee","32,906"
118,37218,"36.209917, -86.889939","Nashville, Tennessee","15,079"
119,37069,"35.990070, -86.918069","Franklin, Tennessee","16,243"
120,37341,"35.210592, -85.072961","Harrison, Tennessee","11,719"
121,37128,"35.767761, -86.447216","Murfreesboro, Tennessee","18,017"
122,37072,"36.352140, -86.746651","Goodlettsville, Tennessee","26,386"
123,37863,"35.786538, -83.561703","Pigeon Forge, Tennessee","5,577"
124,37845,"36.088304, -84.446248","Petros, Tennessee",569
125,37830,"35.971209, -84.283356","Oak Ridge, Tennessee","27,279"
126,37188,"36.479727, -86.680363","White House, Tennessee","10,334"
127,37040,"36.516175, -87.338010","Clarksville, Tennessee","30,951"
128,37924,"36.036612, -83.802264","Knoxville, Tennessee","8,957"
129,37777,"35.815169, -84.050164","Louisville, Tennessee","11,148"
130,38305,"35.700182, -88.776179","Jackson, Tennessee","40,838"
131,37363,"35.119527, -85.055780","Ooltewah, Tennessee","23,824"
132,37716,"36.092385, -84.167677","Clinton, Tennessee","24,422"
133,37877,"36.148521, -83.399897","Talbott, Tennessee","7,930"
134,37066,"36.399928, -86.461600","Gallatin, Tennessee","34,155"
135,37760,"36.103582, -83.466081","Jefferson City, Tennessee","12,627"
136,37122,"36.182639, -86.480715","Mount Juliet, Tennessee","32,480"
137,37757,"36.309990, -84.149678","Jacksboro, Tennessee","8,970"
138,37043,"36.490923, -87.240549","Clarksville, Tennessee","31,558"
139,37801,"35.670863, -84.078663","Maryville, Tennessee","19,750"
140,37813,"36.175136, -83.257023","Morristown, Tennessee","16,743"
141,37620,"36.549600, -82.094050","Bristol, Tennessee","38,992"
142,37803,"35.660842, -83.981389","Maryville, Tennessee","27,244"
143,37228,"36.196291, -86.803583","Nashville, Tennessee",331
144,37771,"35.838371, -84.316931","Lenoir City, Tennessee","12,826"
145,37643,"36.376052, -82.138593","Elizabethton, Tennessee","33,530"
146,37127,"35.783469, -86.324201","Murfreesboro, Tennessee","11,836"
147,37405,"35.124186, -85.405866","Chattanooga, Tennessee","13,229"
148,38301,"35.588164, -88.853395","Jackson, Tennessee","40,000"
149,37764,"35.971711, -83.617997","Kodak, Tennessee","8,188"
150,37617,"36.529615, -82.374255","Blountville, Tennessee","13,334"
151,37772,"35.791140, -84.218553","Lenoir City, Tennessee","8,886"
152,37642,"36.526378, -82.723545","Church Hill, Tennessee","13,606"
153,38004,"35.433055, -89.815466","Atoka, Tennessee","11,724"
154,37853,"35.836719, -83.910713","Rockford, Tennessee","3,481"
155,37865,"35.850344, -83.734626","Seymour, Tennessee","17,026"
156,37073,"36.432426, -86.816630","Greenbrier, Tennessee","11,208"
157,38378,"35.764199, -88.685463","Spring Creek, Tennessee",59
158,37323,"35.096183, -84.816533","Cleveland, Tennessee","26,047"
159,37379,"35.291025, -85.189304","Soddy Daisy, Tennessee","23,312"
160,37871,"36.041110, -83.679527","Strawberry Plains, Tennessee","8,487"
161,37686,"36.430622, -82.333061","Piney Flats, Tennessee","6,499"
162,37769,"36.217207, -84.156243","Lake City, Tennessee","6,182"
163,37721,"36.130591, -83.814869","Corryton, Tennessee","10,111"
164,37064,"35.884862, -86.954138","Franklin, Tennessee","37,516"
165,37737,"35.757928, -84.117987","Friendsville, Tennessee","4,881"
166,37862,"35.783114, -83.608012","Sevierville, Tennessee","17,770"
167,37087,"36.263321, -86.268888","Lebanon, Tennessee","31,616"
168,37388,"35.351838, -86.188905","Tullahoma, Tennessee","23,824"
